10.11.0.0/23;Nie;;Katowice01;LAN O&M 10.11.0.0/26 LAN HLR_Backup 10.11.0.128/26;;;;;
10.11.16.0/23;Nie;;Poznan01;LAN O&M 10.11.16.0/26 LAN HLR_Backup 10.11.16.128/26;;;;;
172.20.31.232/30;Nie;;NT-HLR WARN47;Hand-over for SIGTRAN1;;;;;
10.11.0.0/23;Nie;;Katowice01;LAN O&M 10.11.0.0/26 LAN HLR_Backup 10.11.0.128/26;;;;;
10.11.0.0/23;Nie;;Katowice01;LAN O&M 10.11.0.0/26 LAN HLR_Backup 10.11.0.128/26;;;;;
10.11.0.0/23;Nie;;Katowice01;LAN O&M 10.11.0.0/26 LAN HLR_Backup 10.11.0.128/26;;;;;
10.11.0.0/23
10.11.0.0/23;
10.11.
0.0/23;Nie;;Katowice01;LAN O&M 10.11.0.0/26 LAN HLR_Backup 10.11.0.128/26;;;;;
